caldt,vwretd,vwretx,l.t30_yield,l.cpi,l.y10minFF,l.dp_adj,ExcessRet,,PriceIndex,Dt,DtA,Pt/DtA,pd,Adjusted pd,,
19630131,0.051848,0.050475,0.002512,0,0.0084,,0.048039767,,1,,,,,,,Note: a column header that starts with l. means the series was lagged one month
19630228,-0.021931,-0.026608,0.00226,0,0.0087,,-0.024432509,,1.050475,0.004677,,,,,,
19630329,0.032917,0.031233,0.002262,0,0.0094,,0.030127393,,1.022523961,0.001769,,,,,,
19630430,0.047439,0.046435,0.002661,0.003289,0.0095,,0.043690671,,1.054460452,0.001026614,,,,,,
19630531,0.020051,0.014726,0.00243,0,0.0095,,0.017425574,,1.103424323,0.005615002,,,,,,
19630628,-0.01803,-0.019459,0.002282,0,0.0096,,-0.020473921,,1.11967335,0.001576793,,,,,,
19630731,-0.001717,-0.002995,0.002784,0.003279,0.01,,-0.004498608,,1.097885626,0.001430943,,,,,,
19630830,0.052684,0.048035,0.002484,0.003268,0.005,,0.048862173,,1.094597459,0.00510407,,,,,,
19630930,-0.011898,-0.013316,0.002755,0,0.0052,,-0.01472056,,1.147176448,0.001552139,,,,,,
19631031,0.027708,0.026276,0.002919,0,0.0057,,0.024416332,,1.131900646,0.001642757,,,,,,
19631129,-0.005549,-0.011692,0.002659,0.003257,0.0065,,-0.008219924,,1.161642467,0.006953266,,,,,,
19631231,0.021737,0.019978,0.00306,0,0.0058,,0.018448792,,1.148060544,0.002043329,,,,,,
19640131,0.02579,0.024731,0.002866,0.003247,0.0089,,0.022601147,,1.170996497,0.001215796,0.034606709,33.8372685,3.521562813,,,
19640228,0.017207,0.012653,0.002636,0,0.0065,,0.014428104,,1.199956411,0.005332718,0.035262427,34.02932013,3.52722251,,,
19640331,0.017636,0.015967,0.003298,0,0.0068,,0.014189717,,1.21513946,0.002002727,0.035496154,34.23298911,3.533189773,,,
19640430,0.004607,0.003672,0.002904,0,0.0073,,0.001696629,,1.234541592,0.001136155,0.035605696,34.67258744,3.545949388,,,
19640528,0.017403,0.012531,0.00257,0,0.0072,,0.014686599,,1.239074828,0.006014687,0.03600538,34.41360207,3.538451895,,,
19640630,0.01508,0.013413,0.003136,0,0.0069,,0.011836334,,1.254601675,0.002065538,0.036494125,34.37818245,3.537422132,,,
