Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars
Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars
"Last Revised on: December 21, 2023 - Next Release Date January 25, 2024"
Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
,Current dollars:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"    Gross domestic product",1699,1711,1728,1790,1824,1863,1900,1899,1855,1823,1826,1802,1862,1919,2028,2096,2192,2236,2273,2293,2307,2306,2338,2410,2447,2461,2447,2403,2389,2384,2403,2445,2516,2557,2598,2626,2632,2658,2677,2718,2761,2762,2794,2754,2702,2717,2784,2850,2899,2957,2958,2965,3026,2999,3009,2968,2984,3030,3083,3140,3201,3224,3258,3262,3302,3334,3398,3435,3508,3543,3600,3614,3710,3764,3850,3953,4065,4101,4163,4220,4264,4278,4348,4417,4547,4661,4731,4803,4919,4985,5074,5099,5151,5214,5287,5281,5490,5576,5662,5705,5884,6041,6140,6306,6522,6680,6757,6940,6996,7163,7285,7451,7512,7660,7905,8125,8377,8506,8641,8836,9063,9347,9604,9784,9935,10490,10743,11078,11272,11530,11834,12046,12303,12302,12525,13055,13634,13770,14158,14209,14150,14368,14479,14599,14872,15292,15725,16137,16587,16984,17258,17487,17798,18032,18371,18564,18794,18910,19122,19283,19512,19818,20091,20548,20775,21208,21531,21952,22362,22721,22993,23139,23591,23868,24003,23877,23925,24211,24436,24583,24896,25233,25513,25867,25979,26206,26397,26816,27133,27553,27783,28167,28344,28485,28776,29022,29307,29834,30102,30480,30778,31263,31687,31964,32248,32534,32980,33504,33842,34161,34626,35283,35556,36339,36490,36808,36845,37211,37110,37234,37582,37860,38099,38274,38584,38976,39752,40362,40801,41358,41911,42561,43285,43718,44350,44850,45675,46089,46361,46807,47289,47802,48216,48592,48457,48875,48865,47799,47123,46865,46977,47525,47797,48403,48821,49256,49302,49873,50056,50573,51205,51554,51803,52015,52652,52816,53415,54051,53972,54878,55652,55869,56243,56815,57072,57055,57234,57705,58144,58636,59132,59527,60196,61146,61960,62646,63210,63479,63977,64754,65595,66129,65473,60034,65229,66330,68075,70126,71670,74085,75168,76636,77875,79000,80126,80781,82295
2,"    Gross national product",1706,1718,1736,1798,1833,1873,1910,1909,1865,1832,1834,1810,1871,1928,2038,2106,2202,2248,2286,2307,2320,2319,2351,2423,2459,2474,2458,2414,2401,2396,2415,2459,2530,2571,2613,2642,2649,2675,2694,2733,2779,2782,2812,2769,2717,2732,2799,2865,2914,2972,2974,2982,3042,3016,3027,2986,3004,3049,3102,3160,3221,3246,3280,3288,3325,3357,3422,3460,3534,3568,3626,3639,3738,3793,3877,3977,4090,4127,4188,4246,4291,4304,4376,4445,4576,4691,4762,4834,4950,5015,5103,5129,5182,5246,5319,5311,5526,5615,5697,5742,5923,6079,6183,6349,6573,6735,6823,7008,7076,7240,7356,7513,7565,7714,7965,8198,8450,8582,8719,8917,9158,9441,9699,9869,10035,10574,10837,11188,11386,11661,11994,12208,12471,12460,12675,13180,13771,13900,14300,14372,14306,14544,14630,14745,15018,15449,15887,16306,16745,17143,17416,17627,17906,18149,18465,18671,18886,18974,19197,19333,19572,19892,20164,20629,20877,21302,21614,22044,22453,22809,23091,23263,23710,23994,24112,24078,24081,24324,24535,24713,25024,25358,25626,25984,26122,26324,26536,26895,27237,27640,27864,28244,28457,28607,28846,29136,29446,29942,30198,30596,30863,31376,31771,32023,32340,32616,33015,33548,33936,34272,34728,35419,35674,36466,36598,37001,36986,37381,37198,37541,37755,37967,38250,38479,38734,39170,39939,40634,41136,41607,42189,42746,43580,43970,44630,45034,45863,46255,46483,46954,47432,48006,48605,49123,48954,49393,49444,48113,47517,47265,47570,48093,48458,49071,49459,49942,50018,50587,50842,51404,51989,52279,52531,52735,53334,53539,54173,54792,54717,55593,56440,56563,56937,57474,57733,57775,57897,58370,58821,59482,59967,60336,61139,62144,62920,63570,64026,64313,64863,65638,66442,66925,66294,60577,65879,66906,68769,70639,72155,74602,75614,77242,78448,79556,80601,81297,82784
3,"    Personal income",1325,1319,1369,1383,1417,1449,1480,1478,1430,1417,1408,1404,1501,1505,1553,1604,1658,1710,1730,1752,1758,1777,1814,1848,1869,1886,1877,1868,1860,1851,1854,1878,1909,1947,1983,2004,2029,2055,2077,2112,2129,2148,2165,2150,2145,2151,2193,2215,2238,2277,2280,2302,2324,2338,2341,2339,2355,2380,2409,2446,2475,2507,2522,2546,2566,2584,2611,2651,2693,2733,2773,2809,2858,2900,2964,3022,3080,3122,3180,3239,3286,3314,3375,3423,3513,3604,3688,3759,3824,3906,3998,4061,4124,4201,4258,4287,4371,4471,4525,4598,4717,4790,4901,5111,5185,5314,5432,5598,5662,5772,5926,6048,6128,6260,6410,6561,6701,6802,6954,7102,7241,7424,7606,7854,8020,8270,8490,8704,8946,9100,9364,9595,9849,9986,10300,10690,10944,11138,11537,11649,11775,11943,12088,12241,12388,12577,12797,13132,13481,13803,14082,14278,14522,14665,14832,15061,15295,15431,15583,15699,15880,16086,16338,16703,17007,17291,17627,17932,18396,18574,18746,18999,19344,19613,19789,19808,19812,19996,20130,20363,20726,21024,21181,21410,21447,21672,21757,21994,22124,22456,22633,22982,23264,23458,23674,23878,24250,24656,24851,25103,25476,25701,26030,26451,26974,27364,27662,27910,28179,28318,28625,29128,29891,30318,30809,31093,31585,31640,31504,31391,31480,31755,31830,32037,32135,32416,32778,33168,33435,33921,34311,34939,34895,35381,35843,36393,37296,37726,37940,38323,39035,39504,39665,39992,40426,41473,40872,40434,39292,39357,39092,39344,39782,40428,40749,41141,42194,42474,42842,42963,43721,44062,43843,45257,43976,44318,44498,44674,45380,46022,46540,47085,47595,47963,48217,48375,48527,48682,49059,49504,50168,50684,51193,51864,52439,52986,53636,54177,55007,55363,55662,56122,56630,60847,59793,59374,66756,63363,63578,63957,64300,64982,65964,66633,67666,68259,68745
4,"    Disposable personal income",1191,1184,1233,1240,1272,1319,1356,1353,1310,1303,1299,1299,1391,1388,1429,1457,1499,1538,1551,1561,1561,1574,1609,1639,1658,1676,1670,1663,1673,1666,1670,1692,1718,1751,1782,1799,1817,1839,1858,1888,1903,1920,1937,1925,1925,1934,1970,1990,2006,2039,2040,2057,2071,2083,2084,2084,2101,2124,2151,2186,2209,2233,2242,2260,2279,2296,2323,2361,2411,2474,2505,2533,2564,2599,2671,2724,2765,2788,2835,2882,2926,2956,3004,3043,3120,3196,3231,3283,3316,3384,3485,3542,3612,3686,3768,3795,3895,3985,4033,4092,4144,4202,4310,4507,4587,4704,4800,4940,4992,5075,5203,5314,5394,5698,5704,5830,5953,6024,6148,6268,6380,6535,6706,6912,7063,7266,7430,7598,7814,7935,8145,8334,8592,8701,8975,9296,9500,9646,9987,10121,10252,10391,10582,10711,10886,11041,11325,11620,11948,12234,12459,12609,12703,13034,13067,13269,13518,13645,13759,13811,14017,13977,14327,14623,14951,15257,15562,15829,16152,16280,16438,16665,17004,17232,17391,17419,17510,17681,17806,18014,18422,18656,18787,18936,19065,19195,19229,19412,19556,19803,19998,20317,20534,20652,20857,21003,21264,21538,21728,21916,22156,22339,22588,22922,23351,23656,23890,24060,24303,24391,24620,25015,25594,25956,26396,26653,27003,27045,27605,27089,27733,28100,28208,28444,28609,28899,29511,29666,29971,30416,30686,31231,30921,31333,31708,32166,32861,33198,33399,33664,34156,34539,34703,35010,35368,36369,35961,35706,35366,35671,35401,35643,35924,36508,36699,36994,37612,37838,38135,38267,39042,39330,39050,40278,38755,39002,39217,39332,39902,40510,40914,41353,41662,41921,42175,42291,42579,42687,42989,43382,44021,44522,44911,45383,46125,46721,47298,47860,48469,48634,49016,49418,49826,54480,52973,52161,58992,55223,55187,55238,54802,55508,56566,57372,59408,60188,60529
5,"    Personal consumption expenditures",1091,1113,1132,1155,1169,1190,1205,1205,1193,1199,1189,1200,1213,1235,1319,1297,1365,1332,1343,1362,1365,1386,1396,1441,1458,1464,1461,1451,1458,1469,1477,1499,1531,1556,1574,1590,1593,1602,1614,1638,1656,1663,1682,1684,1675,1685,1707,1722,1758,1785,1807,1811,1820,1842,1832,1835,1832,1852,1859,1891,1912,1936,1949,1975,1988,2003,2032,2049,2093,2127,2166,2172,2221,2251,2290,2354,2402,2421,2460,2482,2497,2537,2566,2597,2682,2744,2817,2853,2907,2956,2998,3048,3095,3134,3181,3203,3285,3343,3392,3459,3533,3613,3691,3799,3906,3971,4048,4108,4184,4309,4433,4467,4579,4700,4842,4963,5107,5187,5307,5447,5597,5710,5834,5989,6107,6350,6469,6626,6768,6931,7151,7319,7507,7497,7733,8010,8229,8349,8502,8551,8704,8795,8971,9205,9354,9612,9889,10089,10264,10487,10621,10799,11091,11260,11534,11610,11772,11863,12106,12225,12328,12590,12822,12928,13234,13451,13702,13963,14161,14387,14572,14710,15016,15151,15350,15380,15356,15518,15645,15697,16043,16205,16423,16677,16791,17006,17211,17407,17621,17805,18012,18236,18322,18538,18722,18877,19109,19389,19526,19753,19996,20079,20407,20652,20809,21155,21430,21731,21942,22343,22646,23048,23527,23801,24119,24403,24617,24724,24758,25103,25155,25412,25658,25857,26129,26396,26878,27132,27542,27818,28213,28704,28993,29437,29925,30144,30564,30923,31265,31430,31842,32125,32438,32814,32964,33304,33319,32416,32050,31954,32316,32454,32702,32984,33212,33558,33908,34215,34404,34506,34923,35006,35106,35370,35667,35726,35944,36316,36549,36997,37384,37683,37737,38118,38404,38449,38689,39058,39385,39692,40169,40388,40732,41354,41894,42284,42555,42787,42890,43412,43896,44286,43655,39701,43560,44351,45838,48023,48981,50237,51146,52247,52979,53599,54595,54979,55676
6,"        Goods",668,683,695,713,721,733,740,736,723,727,720,728,735,744,816,786,832,794,798,810,805,815,814,849,856,852,841,832,832,833,832,847,870,891,902,904,899,901,902,916,929,928,939,931,920,920,931,940,964,977,983,974,976,989,979,973,962,969,973,989,1000,1009,1014,1028,1036,1041,1054,1056,1082,1101,1125,1115,1151,1163,1186,1227,1259,1258,1280,1281,1280,1303,1309,1320,1372,1401,1445,1453,1480,1495,1511,1526,1539,1551,1566,1561,1615,1639,1653,1682,1711,1757,1797,1858,1928,1950,1983,2002,2043,2100,2167,2133,2175,2233,2324,2366,2442,2475,2521,2581,2645,2696,2738,2822,2838,2974,3016,3094,3158,3213,3342,3398,3493,3421,3516,3618,3753,3761,3826,3779,3830,3829,3879,3952,3965,4113,4223,4320,4405,4505,4507,4580,4672,4728,4845,4834,4881,4887,5050,5052,5024,5160,5270,5238,5359,5422,5466,5580,5636,5753,5821,5811,5984,5924,5972,5963,5890,5916,5941,5879,6001,6037,6112,6187,6204,6289,6326,6420,6504,6565,6666,6781,6738,6778,6840,6885,6969,7116,7130,7225,7312,7246,7389,7457,7435,7578,7665,7860,7928,8151,8262,8407,8578,8642,8732,8794,8795,8812,8807,9003,8928,8996,9082,9093,9176,9226,9507,9562,9729,9796,9916,10140,10178,10343,10589,10551,10737,10811,10941,10876,11005,11125,11190,11321,11224,11321,11243,10389,10188,10214,10497,10500,10573,10634,10689,10935,11141,11266,11285,11368,11563,11503,11528,11638,11818,11715,11800,11872,11958,12173,12259,12252,12133,12305,12386,12291,12270,12409,12467,12551,12712,12748,12888,13198,13374,13423,13440,13464,13425,13689,13819,13880,13753,13240,14835,14991,15788,16668,16590,17227,17657,18044,18115,18091,18330,18341,18574
7,"            Durable goods",145,148,151,162,162,164,172,169,165,177,183,189,195,197,246,218,232,200,195,196,197,198,187,213,222,220,216,210,204,208,204,214,234,247,256,249,237,237,235,245,250,247,244,241,228,222,226,232,248,257,261,247,253,257,253,246,231,236,242,252,257,263,265,275,279,285,288,293,304,310,319,308,336,334,343,354,369,355,367,368,359,375,375,379,404,414,436,436,446,447,446,446,439,445,448,424,474,487,497,514,529,544,559,586,624,620,616,603,594,611,637,592,613,634,679,707,751,762,778,801,838,860,879,907,894,973,972,994,996,988,1024,1013,1023,932,988,1033,1074,1049,1094,1026,1065,1075,1084,1134,1151,1237,1289,1358,1407,1446,1445,1492,1548,1567,1660,1603,1633,1694,1850,1826,1729,1811,1894,1846,1926,1934,1917,1977,1974,1997,2041,1980,2070,1996,1970,1912,1870,1878,1907,1874,1941,1954,1990,2025,2038,2108,2135,2194,2245,2276,2309,2387,2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2683,2790,2839,2975,2948,3065,3114,3123,3274,3198,3224,3230,3261,3228,3235,3478,3402,3399,3475,3412,3365,3472,3580,3590,3642,3640,3696,3761,3763,3850,3887,3752,3876,3851,3879,3899,3922,3935,3946,3948,3801,3741,3594,3298,3280,3241,3365,3290,3306,3373,3393,3470,3494,3472,3489,3551,3627,3606,3624,3686,3763,3750,3755,3766,3790,3898,3942,3980,4020,4096,4115,4108,4136,4151,4205,4224,4248,4270,4334,4475,4521,4530,4533,4529,4493,4586,4659,4690,4463,4424,5321,5428,5796,6197,5933,6221,6369,6369,6420,6369,6559,6548,6571
